date,war,hiv
1800,0.0,0.0
1801,0.0012158054711246201,0.0
1802,0.0,0.0
1803,0.002612671456564337,0.0
1804,0.0035190615835777126,0.0
1805,0.0044194455604660505,0.0
1806,0.002082248828735034,0.0
1807,0.001405152224824356,0.0
1808,0.003360537686029765,0.0
1809,0.000727802037845706,0.0
1810,0.0004084967320261438,0.0
1811,0.0014321518080916578,0.0
1812,0.0016168148746968471,0.0
1813,0.00265352539802881,0.0
1814,0.0012944983818770227,0.0
1815,0.004669540229885058,0.0
1816,0.0027152831652443757,0.0
1817,0.0035936751317680884,0.0
1818,0.002598077422707197,0.0
1819,0.0006127450980392157,0.0
1820,0.0035555555555555557,0.0
1821,0.0015069318866787222,0.0
1822,0.0011890606420927466,0.0
1823,0.0015710919088766694,0.0
1824,0.0015740594994490791,0.0
1825,0.0015698587127158557,0.0
1826,0.003837719298245614,0.0
1827,0.0022011280781400466,0.0
1828,0.002928483353884094,0.0
1829,0.0038441376900227153,0.0
1830,0.0008746355685131195,0.0
1831,0.002089427496865859,0.0
1832,0.0011951715071112704,0.0
1833,0.0012009607686148918,0.0
1834,0.0019584802193497847,0.0
1835,0.0015156436072317851,0.0
1836,0.006248110450468608,0.0
1837,0.000573921028466483,0.0
1838,0.0011719894520949312,0.0
1839,0.002160887928494254,0.0
1840,0.004236433326608836,0.0
1841,0.0016,0.0
1842,0.002626740215392698,0.0
1843,0.0016618196925633569,0.0
1844,0.0018334771354616048,0.0
1845,0.002891648239496513,0.0
1846,0.0024964633435965713,0.0
1847,0.0043306707727841405,0.0
1848,0.0020221557939159485,0.0
1849,0.0017487834549878346,0.0
1850,0.001159465100100487,0.0
1851,0.0026387400016492125,0.0
1852,0.003302373581011352,0.0
1853,0.002328636255075233,0.0
1854,0.002381944857976538,0.0
1855,0.0018020515663986693,0.0
1856,0.0030591434398368456,0.0
1857,0.0027514717174302534,0.0
1858,0.003170320404721754,0.0
1859,0.0014384726036354126,0.0
1860,0.0021783855742466417,0.0
1861,0.0032710620047975577,0.0
1862,0.0025919170586541232,0.0
1863,0.0028368794326241137,0.0
1864,0.0023424346680330868,0.0
1865,0.0013515542874305451,0.0
1866,0.002661619447566097,0.0
1867,0.002636325794366588,0.0
1868,0.0006382842918235782,0.0
1869,0.0017774851876234364,0.0
1870,0.004525197120329105,0.0
1871,0.002735807996020643,0.0
1872,0.0019553072625698325,0.0
1873,0.0017797552836484984,0.0
1874,0.001205095833811546,0.0
1875,0.002701891323926749,0.0
1876,0.0014899301274147144,0.0
1877,0.0027655192703736394,0.0
1878,0.0021208299896824487,0.0
1879,0.0035091507855099066,0.0
1880,0.002639778431711961,0.0
1881,0.00286347681507482,0.0
1882,0.0016298841460728603,0.0
1883,0.0024271844660194173,0.0
1884,0.002779736962203875,0.0
1885,0.00131472100846835,0.0
1886,0.0016053453661922944,0.0
1887,0.003985258827562565,0.0
1888,0.0030592210401351534,0.0
1889,0.0028623715452113932,0.0
1890,0.002269591918472698,0.0
1891,0.002972312703583062,0.0
1892,0.0017341268277302644,0.0
1893,0.0018687479388809498,0.0
1894,0.0026409114917377197,0.0
1895,0.00160572221005766,0.0
1896,0.002325142964871489,0.0
1897,0.0016094928519582163,0.0
1898,0.002225914662820955,0.0
1899,0.0031187978451942162,0.0
1900,0.003972144706740076,0.0
1901,0.0014442313611288682,0.0
1902,0.002008334588542451,0.0
1903,0.0017157256983539758,0.0
1904,0.0022098075729360647,0.0
1905,0.0020853747393281574,0.0
1906,0.0018121569845707777,0.0
1907,0.0016108018476844723,0.0
1908,0.002682334908672883,0.0
1909,0.0016434861530159198,0.0
1910,0.0021243826013064952,0.0
1911,0.0020486171834012044,0.0
1912,0.0016024130455273824,0.0
1913,0.0015797404364944344,0.0
1914,0.0026289319678127285,0.0
1915,0.00377140340252161,0.0
1916,0.002320387504713287,0.0
1917,0.0034489017970593576,0.0
1918,0.0026533614051279094,0.0
1919,0.0038041509238652244,0.0
1920,0.0017139751682621965,0.0
1921,0.0024201584966544866,0.0
1922,0.0024528218500022097,0.0
1923,0.0029113269665061356,0.0
1924,0.002448932553516379,0.0
1925,0.0021051400502894568,0.0
1926,0.002561379396514025,0.0
1927,0.0029668699522004283,0.0
1928,0.0025591293572544585,0.0
1929,0.0031520413928454605,0.0
1930,0.002733357175701221,0.0
1931,0.002958017856658254,0.0
1932,0.0037100015458339775,0.0
1933,0.003234342840341076,0.0
1934,0.0033534334235786364,0.0
1935,0.0030943053426446374,0.0
1936,0.0043239101283489775,0.0
1937,0.0038092665135755774,0.0
1938,0.005532280588677624,0.0
1939,0.006526752767527675,0.0
1940,0.0057166190281747655,0.0
1941,0.00573917056007383,0.0
1942,0.004799315256931495,0.0
1943,0.00535572121299848,0.0
1944,0.0058443429229946085,0.0
1945,0.005092994303391557,0.0
1946,0.003306463291017039,0.0
1947,0.0025149255363352066,0.0
1948,0.0038150715838700415,0.0
1949,0.00392656702917172,0.0
1950,0.003822933817823956,0.0
1951,0.003973916656129766,0.0
1952,0.0038088959695288323,0.0
1953,0.003588584882374162,0.0
1954,0.003864734299516908,0.0
1955,0.004183228897259204,0.0
1956,0.0041965350010613805,0.0
1957,0.003026768444831608,0.0
1958,0.003113250112798917,0.0
1959,0.004071784044638818,0.0
1960,0.004647778730982658,0.0
1961,0.004494981427329487,0.0
1962,0.005275231577826604,0.0
1963,0.0061958459236099855,0.0
1964,0.0051115069204794245,0.0
1965,0.004964027026369366,0.0
1966,0.005510298300743146,1.489269811011661e-05
1967,0.005493760657538938,0.0
1968,0.004207764563196911,0.0
1969,0.0039829008896158785,1.2161529433941613e-05
1970,0.0035421457273593013,0.0
1971,0.003399253434993249,0.0
1972,0.00385456666504642,0.0
1973,0.003032766065532131,0.000127000254000508
1974,0.002281062918530087,4.732495681597691e-06
1975,0.0026410923159163185,3.624140399199065e-05
1976,0.002090158591308809,2.9438853398715625e-05
1977,0.001509617725833942,3.7459496918956378e-06
1978,0.001660683853656768,0.0
1979,0.0015788091268300482,3.42598725532741e-05
1980,0.001343798490486449,5.423401979541723e-05
1981,0.0016229554508818153,0.0
1982,0.0017491599264198435,2.509555131161899e-06
1983,0.0018236252327080052,6.712730917943577e-06
1984,0.0018149724846848719,1.2459765341086076e-05
1985,0.001935434369784973,3.644524581359216e-05
1986,0.0019119069868808178,0.0001585000610885652
1987,0.0017775753600184894,0.00027190445277529475
1988,0.0015793633791580176,0.001220350001108066
1989,0.0013763891847626108,0.0019864270043408135
1990,0.0011466501259091032,0.001718739574503839
1991,0.0010007227442041474,0.0028214821815755824
1992,0.000850063950792609,0.0031594603493886033
1993,0.0007279802666144243,0.0030254592731773777
1994,0.0006118530708694644,0.0029039045432488054
1995,0.0005655392077021916,0.0034737680293899413
1996,0.0005638271519472471,0.003271198357895123
1997,0.0005122996069425429,0.003326735535365134
1998,0.00043123267057725267,0.0027525044934583608
1999,0.0005131499704235363,0.002571109120738293
2000,0.0004948267836678407,0.0018690793765661776
2001,0.0004390698330377738,0.0017887826196658111
2002,0.000392482652217527,0.0018466875104337845
2003,0.000382219655391113,0.0017600705799817882
2004,0.000308709471091475,0.0016315151674594732
2005,0.00043035742875991367,0.0015031039627894241
2006,0.00034743775010906837,0.001515099614505959
2007,0.0004070193522247909,0.001471674730093663
2008,0.00044657569754309306,0.0012027179648590102
