date,-notation-
1800,0.0
1801,0.0
1802,1.570807558555579e-06
1803,1.7065803742167657e-06
1804,1.6930988544392901e-06
1805,0.0
1806,1.655172790855826e-06
1807,3.517355043591557e-06
1808,9.441447983623673e-07
1809,8.909296470858573e-07
1810,3.0296557477289287e-06
1811,2.6801500050178364e-06
1812,4.269841695691997e-06
1813,3.7062518082115262e-06
1814,4.314471875439771e-06
1815,4.613462816896921e-06
1816,2.4995626735648386e-06
1817,1.0165070727683576e-05
1818,3.838011371561737e-06
1819,3.303808727872336e-06
1820,3.816478157621691e-06
1821,5.65169513256715e-06
1822,3.462375403816244e-06
1823,3.4090216897002575e-06
1824,6.416585273224113e-06
1825,3.1853526616941513e-06
1826,3.0752620895947163e-06
1827,6.6071568703657536e-06
1828,2.603322538297869e-06
1829,3.900726741353061e-06
1830,4.830282304964183e-06
1831,3.700569952473477e-06
1832,4.091422061281217e-06
1833,5.454962620353926e-06
1834,3.7196448267298287e-06
1835,3.4922804539550073e-06
1836,2.9948476480086407e-06
1837,4.67381399165308e-06
1838,3.84741105799967e-06
1839,3.7032462217719945e-06
1840,2.9686065458759017e-06
1841,2.516710671416632e-06
1842,2.856748168167833e-06
1843,3.275935397012354e-06
1844,2.2092744228278662e-06
1845,4.391059566945594e-06
1846,3.3095110195586674e-06
1847,3.732713188202109e-06
1848,3.320105211645402e-06
1849,3.7478880983798354e-06
1850,3.2538481612089073e-06
1851,3.437343439927157e-06
1852,2.974294004700164e-06
1853,4.000372138795504e-06
1854,3.8245234252708635e-06
1855,5.689267688352292e-06
1856,3.360613115001096e-06
1857,2.7568900642517443e-06
1858,2.4842052791209936e-06
1859,2.726607308572716e-06
1860,4.568037823937371e-06
1861,3.2271816430837802e-06
1862,3.2911929653465916e-06
1863,4.327134500117025e-06
1864,3.3377155995314884e-06
1865,4.234048364087072e-06
1866,3.965804452270138e-06
1867,3.366127546261373e-06
1868,2.9029054276241435e-06
1869,3.5082375540943055e-06
1870,4.0233671292635e-06
1871,4.728293432333948e-06
1872,3.88845949558032e-06
1873,6.328412462272778e-06
1874,5.281421271952824e-06
1875,4.637099077899482e-06
1876,5.610180524913624e-06
1877,4.325478308811377e-06
1878,5.125081027105433e-06
1879,5.1402391481189925e-06
1880,5.4515524447400776e-06
1881,5.68561115183503e-06
1882,4.256875645307736e-06
1883,4.7459845271002525e-06
1884,4.6258395916471696e-06
1885,4.573685589718297e-06
1886,7.0777734111724276e-06
1887,4.621309057190989e-06
1888,5.645721267943094e-06
1889,6.593795514939701e-06
1890,5.482438937566786e-06
1891,6.7504684713366055e-06
1892,6.8996027071725226e-06
1893,7.142140736454963e-06
1894,7.4875312258537296e-06
1895,4.584638388982306e-06
1896,6.223064492652489e-06
1897,5.5100747564173885e-06
1898,5.603580785156328e-06
1899,5.15606115655477e-06
1900,5.407075364499137e-06
1901,5.449650251396554e-06
1902,5.725687066994381e-06
1903,6.528973143641252e-06
1904,5.491953865740959e-06
1905,5.799482035339923e-06
1906,7.804401984179732e-06
1907,6.11170945217316e-06
1908,5.8672728275104326e-06
1909,6.446579347906286e-06
1910,6.377271112563847e-06
1911,6.773084942388799e-06
1912,7.693888910547889e-06
1913,6.319393662148359e-06
1914,7.290665493747128e-06
1915,6.95669399604587e-06
1916,7.394468778394378e-06
1917,7.726303322061799e-06
1918,8.567404940694631e-06
1919,7.263486400391711e-06
1920,7.453164697441351e-06
1921,8.183515423112723e-06
1922,7.527157333707106e-06
1923,9.475014996311218e-06
1924,8.053677544675956e-06
1925,8.987707212135757e-06
1926,9.715320005132796e-06
1927,1.054942293240943e-05
1928,1.0837589118788942e-05
1929,1.0381143600868383e-05
1930,1.060130509458717e-05
1931,1.2242456027808711e-05
1932,1.2526816950978537e-05
1933,1.3182633625452945e-05
1934,1.241308009189398e-05
1935,1.5153770452774384e-05
1936,1.3521727515292482e-05
1937,1.2265115891524181e-05
1938,1.441266226612088e-05
1939,1.5977912335889033e-05
1940,1.4034817140721749e-05
1941,1.610064823715299e-05
1942,1.464842806703341e-05
1943,1.3139986802365174e-05
1944,1.3893738378386634e-05
1945,1.5961164279668314e-05
1946,1.4894458068360578e-05
1947,1.5591259033645703e-05
1948,1.7171594096698603e-05
1949,2.0472640882004417e-05
1950,2.0233267222010132e-05
1951,1.872378668392563e-05
1952,1.8918712599234433e-05
1953,1.8711615303895137e-05
1954,1.9229820937208283e-05
1955,2.0312729879339552e-05
1956,2.033640230704341e-05
1957,2.4590654351401263e-05
1958,2.1222802193049093e-05
1959,2.3345405635891424e-05
1960,2.3155476970609464e-05
1961,2.514967011704533e-05
1962,2.461450448972191e-05
1963,2.5188868187957893e-05
1964,2.5581109826209895e-05
1965,2.5842652053220538e-05
1966,2.542580137901292e-05
1967,2.4973382738501e-05
1968,2.5029694778164336e-05
1969,2.5481588469060528e-05
1970,2.3205440512071067e-05
1971,2.663155116374593e-05
1972,2.5898434501234676e-05
1973,2.5875187379954545e-05
1974,2.676717521635325e-05
1975,2.6482832532830603e-05
1976,2.605100924514949e-05
1977,2.7396616035253137e-05
1978,2.572444825762073e-05
1979,2.6163769476996596e-05
1980,2.7360107210608523e-05
1981,2.6582588606815344e-05
1982,2.8311219369747435e-05
1983,2.72005204378562e-05
1984,2.6871538876054572e-05
1985,2.951030182228622e-05
1986,2.8883038428698166e-05
1987,2.924508303604709e-05
1988,2.6443124072846917e-05
1989,2.8060744768004706e-05
1990,2.896246461580569e-05
1991,2.905314485796028e-05
1992,2.900513102691559e-05
1993,2.6933702666578912e-05
1994,2.7853810526452794e-05
1995,2.7830451360459018e-05
1996,2.6883815061289403e-05
1997,2.6572649918160507e-05
1998,2.5810757764607605e-05
1999,2.6002703724262886e-05
2000,2.520905344735914e-05
2001,2.6494810099672847e-05
2002,2.559784675028375e-05
2003,2.6246132028503523e-05
2004,2.4570719257900547e-05
2005,2.5835419497270013e-05
2006,2.4137534646344747e-05
2007,2.3247583008100814e-05
2008,1.8243927597991082e-05
