date,danger,risk,death
1800,5.505817106236142,5.7657097288676225,5.391730491054433
1801,5.448650363516188,5.562572087658591,5.461052776857698
1802,5.406869185226946,5.745484727755645,5.343717457229495
1803,5.452673725022373,5.7325099075297254,5.416753822869376
1804,5.3923652039634575,5.697811158798279,5.404142497537483
1805,5.4312492844877,5.697086206896552,5.366453922651927
1806,5.411947549441104,5.6370706006322475,5.420524550898199
1807,5.5179426397424605,5.6083045685279185,5.485856565226638
1808,5.507922622950833,5.736856856856854,5.443695332297891
1809,5.498175456135969,5.653402985074626,5.384686786897326
1810,5.454446894848273,5.7565100087032155,5.378401491320044
1811,5.469170259568853,5.6033712737127335,5.4047947392633855
1812,5.472351819757364,5.690905982905986,5.38806467446225
1813,5.442367209432896,5.71814814814815,5.394868089011246
1814,5.52047772602413,5.725972584856401,5.415693599160559
1815,5.485422305764422,5.719186535764375,5.44206562590345
1816,5.454224183120749,5.7272602739726,5.397449779876957
1817,5.462031207226942,5.603913267940112,5.412072832509352
1818,5.455666847699593,5.624153917477974,5.371232590529266
1819,5.47702309132515,5.628026460859976,5.373220669785322
1820,5.4502583479789015,5.685224382946894,5.431839533932948
1821,5.3969705482555375,5.519608763693272,5.403667122969242
1822,5.474779062771563,5.657067669172931,5.426931404483625
1823,5.450497568066194,5.655716363636369,5.411973674213665
1824,5.448563444622646,5.672101210121018,5.426166802329229
1825,5.410019592903009,5.674755820556499,5.431326489801362
1826,5.478162930883128,5.696375646180347,5.403268514076976
1827,5.423611695012426,5.574651760472892,5.388488958055436
1828,5.388655937917423,5.657000292654373,5.39095150816927
1829,5.434905323093209,5.549200581395345,5.423733050127434
1830,5.425089572556493,5.6936512968299695,5.40570748976657
1831,5.460534375000004,5.614821564160972,5.387385556915552
1832,5.466514813989742,5.618879505664259,5.40934339397928
1833,5.52699930094372,5.659039863879441,5.413779756017156
1834,5.477935080404982,5.603186086214264,5.397628483187019
1835,5.467967691223497,5.673642951251648,5.433695058673276
1836,5.500173109078387,5.643967778194082,5.4080056800714456
1837,5.517434730144786,5.646857261238861,5.433171309738677
1838,5.504295478122889,5.578885245901641,5.445829610529787
1839,5.483846481271284,5.657047280882079,5.403422202386543
1840,5.486404302236629,5.647476095617525,5.404215367591125
1841,5.503844086021507,5.614026678724853,5.4163644366197445
1842,5.480025305517834,5.6287769028871315,5.419953452406218
1843,5.4768131919465555,5.595809523809528,5.411063612388337
1844,5.498560443584239,5.672698516579408,5.3945038945912405
1845,5.485866065981503,5.68256285763828,5.4339948989012985
1846,5.467297099794465,5.635588637919234,5.417711730124474
1847,5.516295365055268,5.57614794940591,5.435452307828781
1848,5.4736175603464,5.598388059701486,5.422166841977519
1849,5.508358512020788,5.553664230134391,5.4218402635715535
1850,5.458321460202547,5.548726299694186,5.444391691976092
1851,5.4960705424285345,5.562988629379222,5.428054251434519
1852,5.4932095859634185,5.644129081438179,5.442062780741904
1853,5.493543614704751,5.615725984251968,5.435548123756622
1854,5.4852174414248145,5.61270649052268,5.437133902141748
1855,5.513796718925725,5.648860473011205,5.417422846757398
1856,5.518099438217493,5.638277225901395,5.403295726168845
1857,5.4755515964991215,5.539161732265172,5.425534385424689
1858,5.4961094641666115,5.596490893941196,5.442189986055526
1859,5.499628868064454,5.574915992532672,5.44737222585566
1860,5.497051345499541,5.614032444959443,5.426483999645428
1861,5.554643493761122,5.647883693822041,5.460056576923969
1862,5.48031028212799,5.570221601489758,5.4039718578721425
1863,5.51056935190793,5.574411006018915,5.4311524392694785
1864,5.503614325996362,5.556176430976429,5.4176942901525065
1865,5.488054231959515,5.703765064836012,5.437633440441452
1866,5.4826667916041965,5.584379849196806,5.4216933365681745
1867,5.481627411023168,5.607689812767215,5.451823556511067
1868,5.492698029578247,5.603156177789855,5.440409041129909
1869,5.5114396212263195,5.578353666711347,5.4336929818185515
1870,5.505677164242339,5.591575267343022,5.449356296774596
1871,5.4876766287863505,5.6748605488079225,5.426478643525351
1872,5.49996597824523,5.655436026231336,5.456883278190022
1873,5.5159784937023275,5.652071739130428,5.473037818329195
1874,5.528151569653378,5.5912473622508925,5.459591450549266
1875,5.535735805330235,5.647971139349552,5.440328479573008
1876,5.528521609878798,5.656128798842248,5.483416082474235
1877,5.539877714196125,5.597389590819521,5.457897218633997
1878,5.540107568521148,5.613751916047638,5.474117777906722
1879,5.519377696526511,5.660140469599094,5.441448069271324
1880,5.469840957534012,5.536428680164404,5.444845639755037
1881,5.516670215097529,5.601475077194535,5.463520169256837
1882,5.500027533039643,5.612267133746521,5.476638561435705
1883,5.502029441302388,5.635905822315016,5.4617605438051156
1884,5.500395489548958,5.584207928802584,5.451639231183776
1885,5.49291779668942,5.601523778712383,5.481724560061203
1886,5.4933675757795,5.588396270396275,5.466978705776592
1887,5.485158486707571,5.618875065251438,5.452750737762898
1888,5.512064932913711,5.622003332716167,5.46155395265927
1889,5.53859246917693,5.5777431385674685,5.473475269553319
1890,5.508030582823069,5.6393256227758,5.461740526822445
1891,5.5289184237593245,5.631809585914581,5.47098049016698
1892,5.530552903208593,5.6185077161633235,5.47224406253062
1893,5.519743582689076,5.619000784537469,5.488098134060264
1894,5.536618424010799,5.632714658026334,5.458579350526444
1895,5.513306306782166,5.60255770816158,5.46660237307597
1896,5.517445688906046,5.632088238863935,5.4572540967878185
1897,5.487673365782171,5.6175092439117655,5.484886202398772
1898,5.5144030349853566,5.634880673279228,5.445612379659349
1899,5.505888582325741,5.653738912657833,5.448350808472821
1900,5.519765695563622,5.657161468238864,5.468771334436306
1901,5.516666288630572,5.6545287592057445,5.465703681650277
1902,5.483509825219704,5.6138717386974575,5.468698262633748
1903,5.508195868721817,5.586648734356424,5.472211883156074
1904,5.508770372358793,5.566915348439495,5.4853954361408
1905,5.47905924833879,5.550965745616408,5.472503034440897
1906,5.514260164292396,5.566509692257134,5.469811422885968
1907,5.491166304481537,5.570382953757527,5.481949385485452
1908,5.5127303813734745,5.568986859320781,5.479893075137567
1909,5.501578237410064,5.561419627656641,5.4879388204967725
1910,5.472548994816034,5.57107458210696,5.461919463536556
1911,5.502216572987868,5.516044844499533,5.486614616055594
1912,5.489092180030665,5.506220923883362,5.506030094050763
1913,5.493098104602403,5.531136262016531,5.449889708156535
1914,5.464807701495382,5.517578724098527,5.486664026030995
1915,5.4640398531996235,5.478431651881122,5.472759406817176
1916,5.45257221352094,5.511009695290858,5.441072951368287
1917,5.448154507628302,5.460157385753115,5.4314565382858815
1918,5.442796594709646,5.398316824966082,5.449698469476465
1919,5.418718345962085,5.452779515246285,5.457790858047943
1920,5.454834766130522,5.458613638687241,5.463774347125959
1921,5.447646454265148,5.442467463635833,5.460236626748891
1922,5.443298308103293,5.452083310966765,5.48048016980915
1923,5.474268012849931,5.437971271277601,5.481508423440617
1924,5.440904699165569,5.496617959799684,5.482568990753643
1925,5.458218230290723,5.503503928794947,5.4955845432487935
1926,5.453119911044151,5.471979434447287,5.509049700731553
1927,5.449506980802797,5.48932240514378,5.502696973247415
1928,5.454470931876001,5.474493597994712,5.475291413426691
1929,5.495232471575511,5.537835180157033,5.484016481458363
1930,5.445089341890029,5.528516975892966,5.493805593799226
1931,5.471518399672295,5.506747333880236,5.478191911873831
1932,5.443502975513005,5.497365912762512,5.497607961305007
1933,5.461940823136812,5.474649606655215,5.498744789147597
1934,5.449915954049979,5.447293830657858,5.469943583660095
1935,5.461161170804003,5.475265619011116,5.485276731599031
1936,5.462507070370971,5.478754179386529,5.503186451232298
1937,5.483019805237525,5.44722677995897,5.495431267084017
1938,5.449670781893003,5.444378698224863,5.500945135726944
1939,5.4438641257190525,5.4146364092276835,5.471747785220396
1940,5.429829124126823,5.428782894736846,5.448029027768581
1941,5.435224343587275,5.418756380510444,5.468301739063303
1942,5.430073409136231,5.418410992616894,5.4314283761618345
1943,5.409289575979623,5.493155472880353,5.4341690129406
1944,5.481682711592449,5.464584309786841,5.447009357170033
1945,5.464669253335853,5.493071908336623,5.442590472169091
1946,5.428499615285963,5.407066228097913,5.456724230462933
1947,5.45512314678375,5.43100308731869,5.472011706791444
1948,5.467292761119644,5.3551729136467126,5.4717157903924925
1949,5.449676843665914,5.398044657433248,5.473331597952253
1950,5.475987494197629,5.368077185792344,5.478482989657194
1951,5.474997299678803,5.39672964484174,5.4883537670417075
1952,5.475160175494508,5.423476053639852,5.456194058927076
1953,5.479031187603707,5.440723114956745,5.491019344367752
1954,5.470969937915257,5.480081754735784,5.476717469763749
1955,5.494158597026312,5.413083138720224,5.46199383479511
1956,5.491862805982515,5.41230143089709,5.5070931505902
1957,5.498665281041022,5.392257378036537,5.459666225302221
1958,5.475461368653427,5.388063146305975,5.4602258725752435
1959,5.4862862541547,5.3506983261097005,5.470645120710595
1960,5.467946804404163,5.340700319118073,5.470091484260341
1961,5.465831508460795,5.421938705416113,5.451857573409108
1962,5.46250375381569,5.368205953128265,5.454322377558376
1963,5.494106589768225,5.357418614144296,5.474021716877427
1964,5.466403714966687,5.413463021837695,5.465991967871501
1965,5.467760392825916,5.363980539288821,5.470595576500255
1966,5.484326611796993,5.3534276921822785,5.466771755094998
1967,5.4831965949204315,5.381331356389113,5.48812022895086
1968,5.487698780327259,5.352489995916703,5.457306064717923
1969,5.48265373042677,5.376676176422366,5.470399313514603
1970,5.48327678827236,5.399561221745916,5.471615914839207
1971,5.494820666874743,5.3403059056790845,5.474393124510165
1972,5.4846584997691945,5.364049429402856,5.460377181147454
1973,5.482406748598547,5.377700571776657,5.461877814026503
1974,5.476687865077253,5.334213831670932,5.464232438576252
1975,5.473056719022702,5.301353496892841,5.4413547905471376
1976,5.483991605488021,5.3387288940783195,5.470771743067797
1977,5.4809049673473025,5.347987513511879,5.479970727282347
1978,5.487032878051759,5.316146377114225,5.4688278701452
1979,5.506588985132877,5.311924480721988,5.457776751724928
1980,5.5122090534736525,5.278354862692251,5.460631350688242
1981,5.493390004481653,5.2794384998961,5.4679629377113494
1982,5.475982438797464,5.257584262136109,5.461043887438701
1983,5.478911069492948,5.2996517166047745,5.4670437669711305
1984,5.487608689948343,5.2469612502475265,5.469720186113084
1985,5.471657194994778,5.210821438667598,5.454320548912492
1986,5.49078569832957,5.217616835233893,5.446401858735266
1987,5.5025204745593985,5.229826122851265,5.439383329049849
1988,5.508649712204864,5.255640818876568,5.463736898253668
1989,5.514028764390941,5.217871280458654,5.456141513691145
1990,5.5196456246651024,5.212309453377742,5.448579490069594
1991,5.51789096369219,5.214921910803462,5.450369700397791
1992,5.558050343578989,5.21618215423294,5.462702749994161
1993,5.54358734738035,5.203860797097639,5.447509518674577
1994,5.540842413098347,5.178585754297093,5.44381992741398
1995,5.544360113377634,5.201548546436412,5.442581689836048
1996,5.542450710946559,5.173079573916956,5.4391976955286445
1997,5.557842022509829,5.160049002060611,5.440460378950995
1998,5.539870760968407,5.192609823671462,5.434400885370125
1999,5.554823888451207,5.157173436271696,5.438106512155608
2000,5.551276163852459,5.163441864613954,5.442380765310346
2001,5.546115311512987,5.174305726313743,5.421227272586197
2002,5.56508152577376,5.174894518933117,5.420579263225337
2003,5.555344314141919,5.181462029190911,5.420380306596197
2004,5.563007775092901,5.158336745064518,5.416744195480062
2005,5.568162193039013,5.174199970950886,5.414705335735786
2006,5.550574096912975,5.189773131455226,5.382979616181123
2007,5.559972230236563,5.220540059573162,5.425466431323208
2008,5.549043636664731,5.257608208471976,5.430351463278307
